Recipe Name,Cook Time,Yield,Calories,Main Ingredient,URL
Smoky Candied Almonds,45.0,12.0,3590.071777875,Almonds,http://www.seriouseats.com/recipes/2014/12/smoky-candied-almonds-nuts-recipe.html
Oatmeal with Almonds,14.0,2.0,1059.01,Almonds,http://honestcooking.com/oatmeal-with-almonds/
Candied Rosemary Almonds,164.0,8.0,2046.2804999999998,Almonds,https://food52.com/recipes/10771-candied-rosemary-almonds
Rosemary Candied Almonds,35.0,2.0,2088.4519999983645,Almonds,http://www.marthastewart.com/334260/rosemary-candied-almonds
Caramelized Almonds,60.0,2.0,412.17180297127743,Almonds,http://www.cookstr.com/recipes/caramelized-almonds
Apricots Stuffed with Almonds,8.0,24.0,979.5429999999434,Almonds,http://www.epicurious.com/recipes/food/views/Apricots-Stuffed-with-Almonds-361891
Spiced quinoa with almonds & feta,25.0,4.0,1797.9940000000001,Almonds,http://www.bbcgoodfood.com/recipes/10505/spiced-quinoa-with-almonds-and-feta
Couscous With Cranberries and Almonds,10.0,4.0,1088.121210151398,Almonds,https://www.realsimple.com/food-recipes/browse-all-recipes/couscous-cranberry-almonds
Butternut Squash with Marcona Almonds,60.0,4.0,1082.269497577668,Almonds,https://www.tastingtable.com/entry_detail/chefs_recipes/7212/Butternut_meets_marcona.htm
Rosemary Almonds,40.0,8.0,2200.7362602666667,Almonds,http://www.myrecipes.com/recipe/rosemary-almonds
Sweet-Spicy Roasted Harissa Almonds,30.0,4.0,1587.2612415001088,Almonds,http://www.aidamollenkamp.com/2011/12/sweet-spicy-harissa-almonds-recipe/
Vanilla Almonds,55.0,12.0,3921.4149999999995,Almonds,https://www.foodnetwork.com/recipes/vanilla-almonds-1960813
Spiced Spanish Almonds,90.0,12.0,2807.6368223000004,Almonds,http://www.eatingwell.com/recipes/spiced_spanish_almonds.html
Cocoa Almonds,30.0,4.0,3441.9286056187498,Almonds,http://www.thenaptimechef.com/2011/12/homemade-gift-week-cocoa-almonds-naptime-webisode/
Crackly Chocolate Almonds,85.0,18.0,6644.199376,Almonds,http://www.delish.com/cooking/recipe-ideas/recipes/a26169/crackly-chocolate-almonds-2909/
Smoked Paprika & Rosemary Almonds,25.0,4.0,2925.0389999999998,Almonds,http://thestonesoup.com/blog/2017/04/a-clever-trick-for-roasting-nuts/
Spiced Marcona Almonds,45.0,2.0,1664.1563889375,Almonds,http://www.epicurious.com/recipes/food/views/Spiced-Marcona-Almonds-109189
Crackly Chocolate Almonds,85.0,4.0,6643.5457785712015,Almonds,http://www.goodhousekeeping.com/food-recipes/a4033/crackly-chocolate-almonds-2909/
Citrus Gratin with Toasted Almonds,25.0,4.0,907.5626666705432,Almonds,http://www.foodandwine.com/recipes/citrus-gratin-toasted-almonds
Candied Almonds,30.0,6.0,1600.8455000000001,Almonds,http://www.cookstr.com/recipes/candied-almonds-penelope-casas
Cinnamon-Cocoa Baked Almonds,57.0,4.0,1021.431500000281,Almonds,https://food52.com/recipes/16161-cinnamon-cocoa-baked-almonds
"Sautéed asparagus, toasted almonds & Manchego cheese",35.0,6.0,1928.82,Almonds,http://www.bbcgoodfood.com/recipes/472634/sauted-asparagus-toasted-almonds-and-manchego-chee
Green Beans and Almonds,25.0,4.0,786.0161241806751,Almonds,http://www.marthastewart.com/1153720/green-beans-and-almonds
Beet Greens with Almonds,25.0,4.0,770.5525,Almonds,http://honestcooking.com/beet-greens-with-almonds/
Chicken Salad with Almonds,25.0,7.0,3147.1733333333336,Almonds,https://elanaspantry.com/chicken-salad-with-almonds/
Quinoa Pilaf with Cranberries and Almonds,40.0,6.0,1402.3223674274489,Almonds,http://www.wholefoodsmarket.com/recipe/quinoa-pilaf-cranberries-and-almonds
Candied Almonds,15.0,12.0,3357.854249998253,Almonds,https://www.foodnetwork.com/recipes/candied-almonds-3607362
Pineapple Spears with Almonds & Coconut,48.0,4.0,499.6700000000001,Almonds,http://www.pbs.org/food/recipes/pineapple-spears-with-almonds-coconut/
Cinnamon Sugared Almonds,35.0,4.0,1665.1260000000002,Almonds,http://www.myrecipes.com/recipe/cinnamon-sugared-almonds
"Granola Bars With Apricots, Oats and Almonds",200.0,12.0,2190.480402,Almonds,https://www.realsimple.com/food-recipes/browse-all-recipes/granola-bars-apricots-oats
Coffee Ice Cream with Marcona Almonds,50.0,8.0,1993.6243496812501,Almonds,http://www.delish.com/cooking/recipe-ideas/recipes/a20787/coffee-ice-cream-marcona-almonds-recipe-mslo0513/
Sweet and Spicy Almonds,25.0,2.0,2372.7690000000007,Almonds,http://www.marthastewart.com/335042/sweet-and-spicy-almonds
Snow Peas with Toasted Almonds,25.0,4.0,336.15673103371466,Almonds,http://www.epicurious.com/recipes/food/views/Snow-Peas-with-Toasted-Almonds-352035
Green Beans with Toasted Garlic and Almonds,15.0,8.0,833.1594354922,Almonds,http://www.goodhousekeeping.com/food-recipes/a10731/green-beans-toasted-garlic-almonds-recipe-124683/
Sweet and Spicy Roasted Almonds,30.0,8.0,1965.1779999959765,Almonds,http://honestcooking.com/sweet-and-spicy-roasted-almonds/
Steak with Brussels Sprouts and Almonds,20.0,4.0,1934.6595680167802,Almonds,http://www.pbs.org/food/recipes/steak-with-brussels-sprouts-and-almonds/
Trout with almonds & red peppers,45.0,2.0,692.4262499982502,Almonds,http://www.bbcgoodfood.com/recipes/10061/trout-with-almonds-and-red-peppers
Saffron Scones with Marcona Almonds,175.0,8.0,2794.3943399962227,Almonds,https://food52.com/recipes/17189-saffron-scones-with-marcona-almonds
Garlic-Roasted Asparagus with Almonds,30.0,4.0,456.04251600708005,Almonds,http://www.cookstr.com/recipes/garlic-roasted-asparagus-with-almonds
Ginger Almonds,67.0,10.0,2802.799822300001,Almonds,https://www.foodnetwork.com/recipes/alton-brown/ginger-almonds-recipe-1949105
"Endive With Ricotta, Almonds, and Raisins",10.0,8.0,1675.6198750000003,Almonds,https://www.realsimple.com/food-recipes/browse-all-recipes/endive-ricotta-almonds-raisins
Salted Candied Almonds,30.0,4.0,573.6545754000066,Almonds,http://www.myrecipes.com/recipe/salted-candied-almonds
Coffee Ice Cream with Marcona Almonds,50.0,8.0,1993.6243496812501,Almonds,http://www.marthastewart.com/354923/coffee-ice-cream-marcona-almonds
Polenta with Gorgonzola and Almonds,20.0,4.0,1628.7477582625,Almonds,http://www.epicurious.com/recipes/food/views/Polenta-with-Gorgonzola-and-Almonds-241987
Spinach with Toasted Almonds,20.0,4.0,215.65703191886644,Almonds,http://www.myrecipes.com/recipe/spinach-with-toasted-almonds
